"Table 1d: Non-overlapping 14-day swab test results, England, 26 April 2020 to 14 January 2023",,,,,,,,,,,,,,,,,,,,
"This worksheet contains one table. Notes specific to this table are: 12, 16, 17, 22 and can be found in the notes table.",,,,,,,,,,,,,,,,,,,,
Link to notes table,,,,,,,,,,,,,,,,,,,,
Link to contents table,,,,,,,,,,,,,,,,,,,,
[c] = confidential,,,,,,,,,,,,,,,,,,,,
Non-overlapping 14-day period,"England 
Number of tests positive for COVID-19","England
Total number of tests in sample ","North East
Number of tests positive for COVID-19","North East
Total number of tests in sample ","North West
Number of tests positive for COVID-19","North West
Total number of tests in sample ","Yorkshire and The Humber
Number of tests positive for COVID-19","Yorkshire and The Humber
Total number of tests in sample ","East Midlands
Number of tests positive for COVID-19","East Midlands
Total number of tests in sample ","West Midlands
Number of tests positive for COVID-19","West Midlands
Total number of tests in sample ","East of England
Number of tests positive for COVID-19","East of England
Total number of tests in sample ","London
Number of tests positive for COVID-19","London
Total number of tests in sample ","South East
Number of tests positive for COVID-19","South East
Total number of tests in sample ","South West
Number of tests positive for COVID-19","South West
Total number of tests in sample "
24 October 2021 to 06 November 2021,"2,482","159,125",101,"6,594",328,"21,173",302,"15,483",173,"10,843",244,"14,393",260,"16,797",414,"33,995",347,"24,324",313,"15,523"
07 November 2021 to 20 November 2021,"2,138","159,294",101,"6,815",277,"22,370",215,"15,907",200,"11,370",223,"14,852",255,"17,968",324,"29,179",306,"24,412",237,"16,421"
21 November 2021 to 04 December 2021,"2,102","146,035",114,"6,579",232,"18,888",197,"14,682",153,"10,535",163,"13,211",200,"16,123",429,"28,059",381,"22,838",233,"15,120"
05 December 2021 to 18 December 2021,"2,839","149,406",88,"6,362",287,"19,642",189,"14,203",161,"10,575",190,"13,363",305,"16,703",915,"30,315",461,"23,185",243,"15,058"
19 December 2021 to 01 January 2022,"4,578","107,902",157,"4,647",660,"13,815",413,"10,779",275,"7,952",347,"9,236",440,"12,346","1,417","20,550",603,"17,624",266,"10,953"
02 January 2022 to 15 January 2022,"8,569","165,337",512,"7,291","1,442","21,666",989,"15,420",590,"11,868",900,"15,624",715,"18,071","1,837","33,240","1,060","25,666",524,"16,491"
16 January 2022 to 29 January 2022,"6,642","158,036",349,"6,819","1,005","21,506",774,"15,556",443,"11,388",638,"14,606",711,"18,631","1,281","28,935",921,"24,839",520,"15,756"
30 January 2022 to 12 February 2022,"7,203","171,173",316,"7,486",807,"22,535",684,"16,976",478,"12,903",639,"15,598",853,"19,388","1,531","32,241","1,189","26,121",706,"17,925"
13 February 2022 to 26 February 2022,"4,847","151,697",149,"6,628",538,"21,330",426,"14,887",380,"12,610",375,"13,814",550,"18,215","1,027","27,145",852,"22,979",550,"14,089"
27 February 2022 to 12 March 2022,"5,669","147,475",169,"6,549",635,"19,725",450,"14,485",395,"10,590",454,"13,636",676,"15,855","1,212","27,803","1,062","23,558",616,"15,274"
13 March 2022 to 26 March 2022,"9,620","149,167",340,"6,753","1,250","21,153",830,"14,494",717,"12,367",804,"13,421","1,244","17,880","1,791","26,610","1,530","21,754","1,114","14,735"
27 March 2022 to 09 April 2022,"9,692","137,795",418,"6,059","1,380","19,433",997,"13,643",717,"9,921",889,"12,596",963,"14,612","1,780","25,902","1,479","21,933","1,069","13,696"
10 April 2022 to 23 April 2022,"6,440","127,390",320,"5,280",944,"19,130",686,"11,991",557,"9,971",646,"11,542",688,"14,371","1,056","23,840",938,"19,251",605,"12,014"
24 April 2022 to 07 May 2022,"3,103","117,080",140,"5,204",454,"15,575",330,"12,069",271,"8,745",277,"10,475",340,"13,048",486,"21,645",451,"18,093",354,"12,226"
08 May 2022 to 21 May 2022,"2,064","114,959",111,"5,026",279,"16,335",229,"11,766",151,"8,695",163,"9,965",241,"13,384",330,"20,328",336,"18,109",224,"11,351"
22 May 2022 to 04 June 2022,"1,456","93,048",91,"4,003",181,"13,030",138,"9,548",99,"7,103",121,"7,807",155,"10,792",298,"17,025",231,"14,709",142,"9,031"
05 June 2022 to 18 June 2022,"2,311","98,417",99,"3,998",308,"13,529",210,"9,666",158,"7,551",182,"8,273",226,"10,765",482,"18,056",387,"16,194",259,"10,385"
19 June 2022 to 02 July 2022,"3,662","87,224",154,"3,385",526,"12,238",318,"8,228",256,"6,688",286,"7,141",413,"9,892",733,"16,469",567,"14,053",409,"9,130"
03 July 2022 to 16 July 2022,"4,186","71,061",149,"2,687",644,"10,271",387,"7,526",289,"5,509",383,"6,281",520,"8,472",772,"12,197",594,"10,199",448,"7,919"
17 July 2022 to 30 July 2022,"4,610","118,426",201,"5,147",696,"17,155",492,"12,487",396,"9,573",410,"10,680",561,"13,783",742,"20,032",646,"17,630",466,"11,939"
31 July 2022 to 13 August 2022,"1,878","71,790",87,"3,366",273,"9,962",204,"6,954",128,"5,174",179,"6,484",208,"8,828",348,"12,546",279,"11,130",172,"7,346"
14 August 2022 to 27 August 2022,"1,662","100,893",76,"4,700",237,"14,284",169,"10,534",143,"8,072",161,"9,042",181,"11,373",291,"17,328",242,"15,208",162,"10,352"
28 August 2022 to 10 September 2022,"1,373","100,912",66,"4,324",193,"13,917",135,"10,310",117,"7,816",133,"9,215",146,"11,789",216,"17,956",218,"15,628",149,"9,957"
11 September 2022 to 24 September 2022,"1,935","103,272",117,"4,921",247,"14,265",210,"10,324",151,"7,784",198,"9,437",210,"11,899",297,"18,246",309,"15,835",196,"10,561"
25 September 2022 to 08 October 2022,"3,064","98,737",131,"4,332",435,"13,677",329,"9,541",273,"7,902",297,"9,135",358,"10,765",442,"18,615",475,"14,986",324,"9,784"
09 October 2022 to 22 October 2022,"3,497","107,454",171,"4,778",485,"14,480",379,"10,766",305,"8,156",347,"10,025",394,"12,505",534,"19,356",547,"16,717",335,"10,671"
23 October 2022 to 05 November 2022,"2,622","105,184",138,"4,859",346,"14,518",275,"10,593",216,"8,046",257,"9,718",316,"11,880",414,"18,841",384,"15,925",276,"10,804"
06 November 2022 to 19 November 2022,"1,768","108,097",89,"4,597",277,"14,939",174,"10,583",141,"8,477",149,"10,002",181,"12,223",307,"20,123",265,"16,612",185,"10,541"
20 November 2022 to 03 December 2022,"1,921","94,533",75,"4,230",289,"13,020",203,"9,451",140,"7,383",148,"8,768",231,"10,820",361,"17,162",282,"14,424",192,"9,275"
04 December 2022 to 17 December 2022,"3,063","109,881",122,"5,134",392,"14,911",240,"10,746",218,"8,284",287,"10,259",325,"12,501",661,"20,152",466,"16,874",352,"11,020"
18 December 2022 to 31 December 2022,"3,963","92,569",147,"4,016",459,"12,617",371,"9,489",363,"7,436",314,"8,649",485,"10,668",672,"16,358",688,"14,241",464,"9,095"
01 January 2023 to 14 January 2023,"3,238","123,913",145,"5,567",433,"17,111",318,"12,290",269,"9,366",306,"11,399",377,"14,157",495,"22,612",498,"18,972",397,"12,439"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
