"long","lat","order","hole","piece","id","group"
422449.3968,514427.1962,167,FALSE,"1","E06000005","E06000005.1"
422232.898,515532.0999,168,FALSE,"1","E06000005","E06000005.1"
419709.2991,515678.2981,169,FALSE,"1","E06000005","E06000005.1"
419162.9979,517140.9994,170,FALSE,"1","E06000005","E06000005.1"
420069.5011,517931.903,171,FALSE,"1","E06000005","E06000005.1"
418897.3008,518698.6035,172,FALSE,"1","E06000005","E06000005.1"
418911.4988,519918.5043,173,FALSE,"1","E06000005","E06000005.1"
419872.1968,521341.597,174,FALSE,"1","E06000005","E06000005.1"
420823.7016,521243.3951,175,FALSE,"1","E06000005","E06000005.1"
420606.6998,524780.8025,176,FALSE,"1","E06000005","E06000005.1"
425492.6983,524779.8028,177,FALSE,"1","E06000005","E06000005.1"
425536.7022,523211.0018,178,FALSE,"1","E06000005","E06000005.1"
426954.9022,524003.1951,179,FALSE,"1","E06000005","E06000005.1"
426369.5028,522285.0969,180,FALSE,"1","E06000005","E06000005.1"
427487.0961,520635.9989,181,FALSE,"1","E06000005","E06000005.1"
429000.7987,520883.898,182,FALSE,"1","E06000005","E06000005.1"
428617.7991,521969.1973,183,FALSE,"1","E06000005","E06000005.1"
430674.6038,522465.1953,184,FALSE,"1","E06000005","E06000005.1"
434423.5011,522948.6969,185,FALSE,"1","E06000005","E06000005.1"
435529.0979,521874.3045,186,FALSE,"1","E06000005","E06000005.1"
436388.0024,522354.1971,187,FALSE,"1","E06000005","E06000005.1"
354161.5003,387836.6023,188,FALSE,"1","E06000006","E06000006.1"
354113.9016,384806.9995,189,FALSE,"1","E06000006","E06000006.1"
355191.8032,384297.1955,190,FALSE,"1","E06000006","E06000006.1"
358131.9013,385425.8024,191,FALSE,"1","E06000006","E06000006.1"
358057.9019,383421.996,192,FALSE,"1","E06000006","E06000006.1"
359710.0967,383069.6968,193,FALSE,"1","E06000006","E06000006.1"
358865.1016,381750.2045,194,FALSE,"1","E06000006","E06000006.1"
360448.9036,380778.1028,195,FALSE,"1","E06000006","E06000006.1"
359515.6039,379630.8012,196,FALSE,"1","E06000006","E06000006.1"
358800.7983,380554.7967,197,FALSE,"1","E06000006","E06000006.1"
358511.1988,379342.1038,198,FALSE,"1","E06000006","E06000006.1"
357116.8023,379436.4968,199,FALSE,"1","E06000006","E06000006.1"
357345.1988,378866.9998,200,FALSE,"1","E06000006","E06000006.1"
354451.3967,380052.8004,201,FALSE,"1","E06000006","E06000006.1"
353398.2963,378990.0046,202,FALSE,"1","E06000006","E06000006.1"
351892.3029,379820.7968,203,FALSE,"1","E06000006","E06000006.1"
350834.6017,379134.1034,204,FALSE,"1","E06000006","E06000006.1"
349965.8746,380018.79,205,FALSE,"1","E06000006","E06000006.1"
349279.5997,381826.4026,206,FALSE,"1","E06000006","E06000006.1"
349947.697,383229.8009,207,FALSE,"1","E06000006","E06000006.1"
350818.0423,383383.7128,208,FALSE,"1","E06000006","E06000006.1"
350955.2479,383701.7804,209,FALSE,"1","E06000006","E06000006.1"
349563.0988,383902.299,210,FALSE,"1","E06000006","E06000006.1"
348271.8965,382026.8953,211,FALSE,"1","E06000006","E06000006.1"
347872.4998,382454.5997,212,FALSE,"1","E06000006","E06000006.1"
348303.1041,381654.302,213,FALSE,"1","E06000006","E06000006.1"
347566.2,380912.3998,214,FALSE,"1","E06000006","E06000006.1"
345044.7961,381955.2958,215,FALSE,"1","E06000006","E06000006.1"
344958.5485,381934.2825,216,FALSE,"1","E06000006","E06000006.1"
344666.1005,382586.3952,217,FALSE,"1","E06000006","E06000006.1"
345579.9995,382851.9992,218,FALSE,"1","E06000006","E06000006.1"
345588.6981,383767.4971,219,FALSE,"1","E06000006","E06000006.1"
347696.2016,384666.0999,220,FALSE,"1","E06000006","E06000006.1"
348433.6976,387413.8034,221,FALSE,"1","E06000006","E06000006.1"
349698.3004,387364.4975,222,FALSE,"1","E06000006","E06000006.1"
350553.1978,389731.7998,223,FALSE,"1","E06000006","E06000006.1"
352540.9006,389370.9031,224,FALSE,"1","E06000006","E06000006.1"
352692.7004,388433.8014,225,FALSE,"1","E06000006","E06000006.1"
354161.5003,387836.6023,226,FALSE,"1","E06000006","E06000006.1"
367582.2007,396058.1989,227,FALSE,"1","E06000007","E06000007.1"
370229.2033,391101.8976,228,FALSE,"1","E06000007","E06000007.1"
368282.0002,388925.8005,229,FALSE,"1","E06000007","E06000007.1"
371724.8986,387929.6957,230,FALSE,"1","E06000007","E06000007.1"
370826.6982,385621.1965,231,FALSE,"1","E06000007","E06000007.1"
367700.3029,385779.6011,232,FALSE,"1","E06000007","E06000007.1"
365410.3032,383570.3035,233,FALSE,"1","E06000007","E06000007.1"
365582.6992,382955.9994,234,FALSE,"1","E06000007","E06000007.1"
362670.997,380858.8997,235,FALSE,"1","E06000007","E06000007.1"
361050.2984,381545.5031,236,FALSE,"1","E06000007","E06000007.1"
360448.9036,380778.1028,237,FALSE,"1","E06000007","E06000007.1"
358865.1016,381750.2045,238,FALSE,"1","E06000007","E06000007.1"
359710.0967,383069.6968,239,FALSE,"1","E06000007","E06000007.1"
358057.9019,383421.996,240,FALSE,"1","E06000007","E06000007.1"
